r,theta,Fn_BEM,Ft_BEM,Fn_SVEN,Ft_SVEN,V_eff_BEM,alpha_BEM,V_eff_SVEN,alpha_SVEN,a_BEM,phi_BEM,phi_BEM.1,a_SVEN,phi_SVEN,cos_theta,sin_theta
0.2119407039730799,0,3.577235416740432,-1.652359063368956,3.484988826485271,-1.586407746058624,11.3251436919973,65.2073357081112,14.24551082017053,65.52411822897605,0.194692797499456,62.90731123111753,62.90731123111754,-0.0158179530435944,63.22409375198239,1.0,0.0
0.2119407039730799,10,3.637543003167094,-1.67885436312967,3.506579815657537,-1.612639922673231,11.38561303093808,65.22501055696804,14.30222193010171,65.30249596454507,0.1902652243572445,62.92498607997437,62.92498607997438,-0.0178636677969807,63.00247148755141,0.984807753012208,0.17364817766693033
0.2119407039730799,20,3.706274105825615,-1.737718677638969,3.538608096685758,-1.668235926220674,11.43911122434581,64.8800615224155,14.39917265507707,64.7587269039265,0.188978902125139,62.58003704542184,62.58003704542184,-0.0197625004054717,62.45870242693284,0.9396926207859084,0.3420201433256687
0.2119407039730799,30,3.781911950767753,-1.828343684551079,3.580925983508289,-1.752646601670704,11.48401049893913,64.19882093805798,14.53599247973175,63.92077898542325,0.1908753541237514,61.89879646106431,61.89879646106432,-0.0214910999096984,61.620754508429584,0.8660254037844387,0.49999999999999994
0.2119407039730799,40,3.862864100431574,-1.949465086527739,3.633208855571043,-1.864904726676871,11.51880191705991,63.22136919591188,14.71185379316084,62.82858019492888,0.1959348718677848,60.92134471891821,60.92134471891822,-0.0230155538184424,60.52855571793522,0.766044443118978,0.6427876096865393
0.2119407039730799,50,3.947392998917354,-2.09904752800629,3.694818464036926,-2.003472311842181,11.54218365712227,61.99794691514224,14.92495095997931,61.53150804923729,0.2040528074369741,59.69792243814857,59.69792243814858,-0.0242916723972113,59.231483572243626,0.6427876096865394,0.766044443118978
0.2119407039730799,60,4.033541143701723,-2.27417418210083,3.76476211897543,-2.166105811351466,11.55314595429964,60.58500974595778,15.17216943548957,60.08522743739527,0.2150196738513713,58.28498526896411,58.284985268964114,-0.0252793677166078,57.785202960401605,0.5000000000000001,0.8660254037844386
0.2119407039730799,70,4.119080528619921,-2.470955771785798,3.84178496017929,-2.349695521792457,11.55104043485007,59.04128140347452,15.44898395576002,58.54917608994111,0.2285136862996027,56.74125692648087,56.74125692648086,-0.0259771253254506,56.24915161294745,0.3420201433256688,0.9396926207859083
0.2119407039730799,100,4.346132639707567,-3.137166105216741,4.112195179637818,-2.985709506269291,11.4660975080406,54.17714328270794,16.41115472852488,54.01774606708567,0.2795329424277082,51.87711880571427,51.87711880571428,-0.0289322531033204,51.717721590092005,-0.1736481776669303,0.984807753012208
0.2119407039730799,110,4.402825776344153,-3.361962494938584,4.190608280725014,-3.201720425288892,11.41368333669919,52.63493656768022,16.71820261801445,52.61909029769148,0.2982329316856905,50.33491209068656,50.33491209068656,-0.0276781564090897,50.319065820697816,-0.3420201433256687,0.9396926207859084
0.2119407039730799,140,4.483280471557666,-3.9358053765588,4.365339365389005,-3.756344170174432,11.20466322179696,48.72058323797933,17.47048715423945,49.28800586432754,0.3516873905204994,46.42055876098566,46.42055876098567,-0.0203359312051147,46.98798138733388,-0.7660444431189779,0.6427876096865395
0.2119407039730799,150,4.475875912843192,-4.068644324642963,4.394735720383721,-3.883991860193032,11.12500399391548,47.72865043138654,17.63061654564039,48.53008468701264,0.3669972560861354,45.42862595439287,45.42862595439288,-0.0168912396692042,46.230060210018976,-0.8660254037844387,0.49999999999999994
0.2119407039730799,180,4.353056809846582,-4.216389173093466,4.381389145725994,-4.015601592388298,10.8927103770985,45.91368975470932,17.74765570352476,47.49412342237561,0.3998636491022798,43.61366527771565,43.61366527771565,-0.0057451337732239,45.194098945381945,-1.0,1.2246467991473532e-16
0.2119407039730799,190,4.283740140391389,-4.17503940334374,4.343993554515674,-3.969469461796884,10.82651069587415,45.73624695275667,17.65974646124521,47.57924503659888,0.4054527264955494,43.436222475763,43.43622247576301,-0.0022390310067286,45.279220559605214,-0.984807753012208,-0.17364817766693047
0.2119407039730799,200,4.204143636352383,-4.089788909075272,4.292464813144762,-3.880533766213222,10.77000811890538,45.78993023704606,17.51215323791152,47.88514334786126,0.4079706147941873,43.48990576005239,43.4899057600524,0.0008967793786245,45.5851188708676,-0.9396926207859084,-0.34202014332566866
0.2119407039730799,220,4.025682535223938,-3.804143289512619,4.156711399051216,-3.593549088124832,10.69341361744316,46.62071014359498,17.06488375052952,49.15580345875694,0.4032582991874289,44.32068566660131,44.320685666601314,0.0055006826384937,46.85577898176328,-0.766044443118978,-0.6427876096865393
0.2119407039730799,230,3.932854161823795,-3.615815991634898,4.078101357231284,-3.408795408116621,10.67572326828019,47.40496397770671,16.78373511917924,50.10826863325943,0.3959513006956476,45.10493950071304,45.10493950071304,0.0067819347267999,47.808244156265765,-0.6427876096865395,-0.7660444431189779
0.2119407039730799,240,3.841604649904388,-3.406958773677813,3.996767099106638,-3.206842771675956,10.67242604313806,48.43152012646605,16.47958684371978,51.25763412960621,0.3854556515966684,46.13149564947238,46.131495649472384,0.0072444325212992,48.95760965261255,-0.5000000000000004,-0.8660254037844385
0.2119407039730799,250,3.754758563205799,-3.185571094564507,3.915518507041476,-2.995380822772936,10.68328600099408,49.68842545570968,16.16399055025268,52.5836874324309,0.3720070574406758,47.38840097871601,47.388400978716014,0.0068991533574822,50.28366295543724,-0.34202014332566855,-0.9396926207859084
0.2119407039730799,270,3.604491879999871,-2.736575186410227,3.761346763910252,-2.5731990994078,10.74390716991546,52.79377860556421,15.54122767812689,55.62307008832887,0.3378979339341504,50.49375412857055,50.49375412857055,0.0044478759610958,53.32304561133521,-1.8369701987210297e-16,-1.0
0.2119407039730799,280,3.545454401741588,-2.523176856310777,3.692661693455756,-2.375153779165611,10.79083736108979,54.56186177978753,15.25427093158994,57.25023780921494,0.3184051693357752,52.26183730279387,52.261837302793865,0.00255912875867,54.95021333222128,0.17364817766692997,-0.9848077530122081
0.2119407039730799,290,3.499453420724743,-2.32513618891074,3.631803425432944,-2.192526261482216,10.84649957771208,56.39880854087641,14.99450176863424,58.88026742706252,0.2982443023399147,54.09878406388275,54.098784063882746,0.0003769357665974,56.58024295006886,0.342020143325669,-0.9396926207859083
0.2119407039730799,320,3.4487350482187,-1.864860648954639,3.505062613903005,-1.772720823993408,11.04680369765412,61.59824445440056,14.42807569958441,63.1712385917422,0.2413383359800142,59.29821997740689,59.298219977406895,-0.0066553390884436,60.87121411474854,0.7660444431189778,-0.6427876096865396
