yaw,r,theta,Fn_BEM,Ft_BEM,Fn_SVEN,Ft_SVEN,V_eff_BEM,alpha_BEM,V_eff_SVEN,alpha_SVEN
-15.0,0.211940703974,0.0,4.32762158631349,4.191752508341641,9.479074469419086,8.61239603747582,10.892710376950047,45.91368975494422,17.69960047121694,47.7426455956754
-15.0,0.211940703974,10.0,4.258709939132477,4.150644348266083,9.367603982372229,8.418352780349872,10.826510695723028,45.73624695297191,17.551938728502776,48.05499150638697
-15.0,0.211940703974,20.0,4.179578523177008,4.065891978755366,9.233184021063888,8.142917144027676,10.770008118748455,45.78993023724368,17.353234562074903,48.59029421314118
-15.0,0.211940703974,30.0,4.093066648556063,3.94119983875424,9.081623146302675,7.799373932241285,10.72515129392028,46.08289800405818,17.11202253323536,49.343704977139566
-15.0,0.211940703974,40.0,4.002160183074395,3.781915407062078,8.917800047959679,7.402926140388085,10.693413617283506,46.620710143769536,16.83754651938258,50.30290843121878
-15.0,0.211940703974,50.0,3.909874212525307,3.594688519110947,8.747341434038793,6.9702909702623295,10.675723268120125,47.40496397787675,16.540564265582045,51.45048537296499
-15.0,0.211940703974,60.0,3.8191578780542015,3.387051668875892,8.579434832405786,6.518586990892622,10.672426042974964,48.43152012663537,16.23461547225625,52.772676743941865
-15.0,0.211940703974,70.0,3.73281923927617,3.166957573870285,8.417709109582661,6.0621929114624535,10.683286000830432,49.688425455884456,15.92928732904206,54.23960644599224
-15.0,0.211940703974,80.0,3.653462855548524,2.942317292580834,8.263428089836369,5.615572801058936,10.707526127401293,51.15375957095534,15.632858637582146,55.80112960626248
-15.0,0.211940703974,90.0,3.583430575092237,2.720585181051862,8.139664948498748,5.195173915446564,10.743907169753026,52.79377860576606,15.368814116092944,57.45172522591695
-15.0,0.211940703974,100.0,3.5247380570606075,2.508433752720508,8.013926339890057,4.803649169415053,10.790837360929022,54.56186178000985,15.11772079663856,59.06093427064447
-15.0,0.211940703974,110.0,3.479005863081497,2.3115502511625925,7.905982335692265,4.453141009124457,10.846499577553589,56.398808541122456,14.898115373234228,60.6090227876115
-15.0,0.211940703974,120.0,3.44739265618633,2.1345673585396696,7.816725308307338,4.150710547790265,10.908977271713884,58.23490731687959,14.71352254144916,62.03146769422519
-15.0,0.211940703974,130.0,3.4305454464947043,1.981115915716103,7.749145456496044,3.902068370227962,10.97635880359492,59.99386779862071,14.567950544958729,63.27247738306889
-15.0,0.211940703974,140.0,3.4285838416780967,1.8539641342420776,7.705935894202587,3.7108989335811793,11.046803697505435,61.59824445472342,14.464122245177997,64.28615611344512
-15.0,0.211940703974,150.0,3.441129715906276,1.7551932718269372,7.686074591181993,3.5794361448866248,11.118563994840876,62.97554961890925,14.401226298201138,65.02834571708675
-15.0,0.211940703974,160.0,3.467382009969277,1.6863594877416688,7.688980835055118,3.510276104526204,11.189966601257204,64.0640517912015,14.378855773862862,65.4616536690088
-15.0,0.211940703974,170.0,3.506223079274768,1.6486051895786664,7.7147245067018675,3.504781336979004,11.2593737003001,64.81737009625368,14.396835444376997,65.56774499510668
-15.0,0.211940703974,180.0,3.5563333733360905,1.6427042106837169,7.763276422602483,3.563412877785115,11.325143691865303,65.20733570850818,14.45492742697912,65.34439002742144
-15.0,0.211940703974,190.0,3.616288578208311,1.6690446965056926,7.834463964491466,3.685838404675664,11.385613030809434,65.2250105573759,14.552873372044258,64.80460876831611
-15.0,0.211940703974,200.0,3.684618080102908,1.7275650625991272,7.927781404397559,3.870842559916785,11.439111224221882,64.88006152283137,14.690154617590188,63.975391142071786
-15.0,0.211940703974,210.0,3.759813967689099,1.8176605410886868,8.042401484675649,4.11615213217054,11.484010498818767,64.19882093847936,14.865799514247962,62.89628521350939
-15.0,0.211940703974,220.0,3.8402931081323706,1.93807422201646,8.178514479665145,4.418498750378372,11.51880191694262,63.22136919633642,15.079181588909352,61.61950413255331
-15.0,0.211940703974,230.0,3.924328098196775,2.0867826425484592,8.333007717350325,4.772373383785582,11.542183657007476,61.9979469155676,15.326221423856296,60.19986993047743
-15.0,0.211940703974,240.0,4.009972873186665,2.260886019027676,8.502328748753435,5.171241505920697,11.553145954186654,60.58500974638159,15.601931356084846,58.691366215175066
-15.0,0.211940703974,250.0,4.095012445337239,2.4565177997534446,8.67883604622296,5.605443476499804,11.551040434738136,59.04128140389432,15.897185547049691,57.14254321581103
-15.0,0.211940703974,260.0,4.176961983475414,2.6687944574560643,8.857795105108929,6.0643202970291545,11.535627507754164,57.4241909107477,16.20439107776696,55.60320605193992
-15.0,0.211940703974,270.0,4.2531290702736575,2.891829830733542,9.033203443536118,6.533499907462827,11.507101547547553,55.78704251493366,16.5135403534656,54.122639808236606
-15.0,0.211940703974,280.0,4.3207378746332585,3.118835418364561,9.196909045404498,6.996651538156598,11.466097507926946,54.17714328310003,16.812603659769675,52.73748817634573
-15.0,0.211940703974,290.0,4.377099749199027,3.3423183066376345,9.339951978619824,7.436439120055618,11.413683336583343,52.63493656805789,17.088966039662008,51.4732703861293
-15.0,0.211940703974,300.0,4.419805227379911,3.5543742828895097,9.458617724663128,7.836139633129353,11.3513406979481,51.19401940044577,17.33349959863813,50.35938035237671
-15.0,0.211940703974,310.0,4.446909261596875,3.747058995237458,9.549717916683502,8.178232650845692,11.280933700097066,49.88180873616308,17.53697925359835,49.42371831510987
-15.0,0.211940703974,320.0,4.457084341839872,3.9128081830882846,9.607398000507642,8.446798986417965,11.204663221670588,48.72058323830104,17.68945607460557,48.67811528571718
-15.0,0.211940703974,330.0,4.449723048489024,4.044870943657807,9.62830714034504,8.630522788107193,11.125003993784656,47.72865043168671,17.78434424694706,48.127878672684574
-15.0,0.211940703974,340.0,4.424980477548496,4.137718038229011,9.61296770255667,8.721453725842343,11.04462286417116,46.92144506911351,17.81835689681566,47.78378981830738
-15.0,0.211940703974,350.0,4.383755992371422,4.187389637717172,9.56229532706456,8.715201137306119,10.966279097433748,46.312426134506126,17.789713758124893,47.65351533889046
-15.0,0.219688749936,0.0,6.391138775873152,6.353409083835185,9.692131343981252,9.013190737852543,13.311367803514218,45.16962122348416,17.992983935975968,47.07869975969725
-15.0,0.219688749936,10.0,6.342483317677042,6.306833629752875,9.577875338026509,8.814105509789792,13.280057285469136,45.16147680223019,17.843456454478947,47.37794113450014
-15.0,0.219688749936,20.0,6.272422473433069,6.191194134668452,9.440670673454148,8.531675936632553,13.25461161930192,45.37340486662868,17.642390898091193,47.89537086647406
-15.0,0.219688749936,30.0,6.183636605179205,6.011807228724013,9.286409304658848,8.179480032977095,13.235935642091802,45.80722332068796,17.398357294902837,48.62632866682109
-15.0,0.219688749936,40.0,6.079451189746926,5.776767958708017,9.119815772634416,7.772990076009047,13.224661011362493,46.46241438719655,17.1205037595758,49.55838662300156
-15.0,0.219688749936,50.0,5.96368785926753,5.496379333590276,8.94649767203392,7.329293996964771,13.221111414977656,47.33506317578527,16.819590830860236,50.674390002669895
-15.0,0.219688749936,60.0,5.84050592224391,5.182444377778271,8.7759952923958,6.865934150682871,13.22528641102276,48.41645849637473,16.509346041071485,51.96197268030885
-15.0,0.219688749936,70.0,5.714236162524298,4.847490366034001,8.611659354748348,6.397547093167032,13.236867081366508,49.69145283366902,16.199213326579752,53.39153646811591
-15.0,0.219688749936,80.0,5.589207140718576,4.504003049005111,8.454338966228805,5.938937535553883,13.25524485370257,51.13676589132195,15.897321293332803,54.91298593685654
-15.0,0.219688749936,90.0,5.4695654450176185,4.163747914046715,8.327544525421244,5.5070862835348064,13.279572197746669,52.71952208397778,15.627259156488428,56.52289204929959
-15.0,0.219688749936,100.0,5.359095822749838,3.8372441892748346,8.19844459711774,5.104646001612409,13.3088305224894,54.396406488687006,15.369965394387956,58.09206674209948
-15.0,0.219688749936,110.0,5.261053994988898,3.5334350293550005,8.087034708103062,4.7441759093746185,13.3419069972419,56.11385632884328,15.144030257220477,59.60236111538789
-15.0,0.219688749936,120.0,5.1780316733849885,3.259566213779588,7.994281359319803,4.433019472116839,13.377669209565434,57.809622532129936,14.95323167827867,60.99052678575617
-15.0,0.219688749936,130.0,5.111876151185709,3.021251120966108,7.923602175005218,4.177131575220009,13.415025887157096,59.41581349368898,14.802053755363666,62.20282268820517
-15.0,0.219688749936,140.0,5.06368250891996,2.822669894531062,7.878125271789479,3.980369404374004,13.45296437963468,60.86320877737906,14.693694486833968,63.19505671917348
-15.0,0.219688749936,150.0,5.033864099267683,2.6668340569692583,7.856844860819138,3.8450225576744734,13.490561178265782,62.0863094366816,14.627521550546822,63.92349837738767
-15.0,0.219688749936,160.0,5.022289384989445,2.55584917176117,7.859266692741696,3.7737933538595154,13.526968944711175,63.02840151948606,14.603344294748965,64.35095745858256
-15.0,0.219688749936,170.0,5.028456117255794,2.491125612835296,7.885585166956772,3.7680790931704617,13.561389831603265,63.64592470201723,14.621145094714883,64.45941363949565
-15.0,0.219688749936,180.0,5.0516632643273285,2.4735127495819005,7.935785930027367,3.8283413949963694,13.593048015418072,63.91163170502982,14.680697210613104,64.2465813124712
-15.0,0.219688749936,190.0,5.091140636653087,2.503354244823933,8.009656972196446,3.954246702744511,13.621173366534103,63.81628834985078,14.781661964539552,63.725079397755096
-15.0,0.219688749936,200.0,5.1461059300177805,2.5804742199114106,8.106589454307413,4.14455532267025,13.645003752700932,63.36888547087064,14.923345096636163,62.92120557317074
-15.0,0.219688749936,210.0,5.215736271997485,2.704104974144477,8.225611560442749,4.396935278407914,13.663807412727824,62.59546230999069,15.104529963384982,61.8735638790214
-15.0,0.219688749936,220.0,5.299062188846347,2.8727622514480844,8.36691181479741,4.708050975048713,13.67692115797717,61.53670359388464,15.324409711616832,60.63354218031102
-15.0,0.219688749936,230.0,5.394811509685275,3.084071817289228,8.52701607699702,5.072160937033899,13.683796407812942,60.24453249224766,15.578463251260349,59.25431822087458
-15.0,0.219688749936,240.0,5.501244362433493,3.334557236593782,8.702172612680743,5.48251312940486,13.684044017104284,58.77801923944677,15.861418112889744,57.78834167352208
-15.0,0.219688749936,250.0,5.616024268541003,3.619413502231216,8.884121021861581,5.9290378970284685,13.677470423906945,57.19904246629343,16.16361973241125,56.28180705853107
-15.0,0.219688749936,260.0,5.736162977615533,3.932308897746481,9.068042564214592,6.400739609352722,13.664100942143095,55.568212926557536,16.477331067889697,54.783337736032806
-15.0,0.219688749936,270.0,5.858060161161112,4.265269596243203,9.24780487064048,6.882785179913747,13.64418964402909,53.94153492297772,16.792371620143538,53.341065072833885
-15.0,0.219688749936,280.0,5.977638518556515,4.608701050614315,9.414919422086912,7.35833103370036,13.61821786887422,52.36812691582711,17.096467404075952,51.990172207813416
-15.0,0.219688749936,290.0,6.090556282421331,4.951585331331483,9.560119761377509,7.809551621738996,13.58688424879388,50.889098337140375,17.376836131811903,50.75496870052435
-15.0,0.219688749936,300.0,6.192467006690109,5.281867798817038,9.679973007946924,8.219392932930402,13.55108842947709,49.53746344334502,17.624508612539717,49.6649344730828
-15.0,0.219688749936,310.0,6.279292393751397,5.587016616530288,9.771552977470376,8.569943831906079,13.51190918730693,48.33882864943351,17.830356820049598,48.74823363815266
-15.0,0.219688749936,320.0,6.347476641542828,5.854711449287025,9.828793656907864,8.844922067520669,13.470576316052776,47.31253876775409,17.984318954199896,48.01594798248831
-15.0,0.219688749936,330.0,6.394197906162791,6.0735980198858925,9.848380162568674,9.032846919134672,13.42843507483708,46.4729927761944,18.07986235089737,47.473194152510295
-15.0,0.219688749936,340.0,6.417521458519034,6.234035148264326,9.831105120165638,9.12565239766514,13.386902298646662,45.83090599039158,18.11381499595974,47.13117590067948
-15.0,0.219688749936,350.0,6.416488057876604,6.328760480857484,9.778026617700371,9.11886254959799,13.347414271835744,45.39436975408578,18.084430342120715,46.99775684505237
-15.0,0.235125874557,0.0,6.074583972277507,6.353875529599998,7.831140599604319,7.584549864396433,14.97047316144446,43.7126695261261,18.62093406154361,45.916397166295866
-15.0,0.235125874557,10.0,6.047428563733431,6.314066181549949,7.738623299937288,7.423441916961639,14.956162415823696,43.76432083525727,18.4679328126118,46.19083097748471
-15.0,0.235125874557,20.0,5.997243215134887,6.205591543169773,7.628573516499572,7.195213133732402,14.945193967861677,44.02184038990335,18.262681048927963,46.674480789026696
-15.0,0.235125874557,30.0,5.925989118414994,6.033534125783773,7.505618092473388,6.9107500127525805,14.9379663841701,44.48478640646234,18.013779881440893,47.36284229361963
-15.0,0.235125874557,40.0,5.836407402255963,5.805803573719302,7.373112965839232,6.582355062870586,14.934728286900796,45.15061281545901,17.73015210976646,48.24304435623532
-15.0,0.235125874557,50.0,5.731891281130428,5.532561022282079,7.235286946797388,6.223689277635053,14.93556332569415,46.01377238856496,17.42247599136692,49.29832114813014
-15.0,0.235125874557,60.0,5.616332200875886,5.225502227799873,7.100218956846155,5.848952689008965,14.940385154755914,47.06452293128147,17.104969200319676,50.51926273282247
-15.0,0.235125874557,70.0,5.493943990512364,4.8970726355477,6.969885586910366,5.469754745367754,14.94894381957569,48.28751968864992,16.78663819874221,51.87621323441259
-15.0,0.235125874557,80.0,5.3690698981384335,4.559694283838603,6.844170046425862,5.097979561864992,14.96084394627052,49.66034765531119,16.475188724613805,53.31884020249949
-15.0,0.235125874557,90.0,5.245979914477257,4.225081592648568,6.742023164618872,4.747542679617019,14.975573759611642,51.15223414799131,16.1944954535016,54.8478186869534
-15.0,0.235125874557,100.0,5.128669959080776,3.903709887201852,6.637485025295143,4.420461310579786,14.992542308660656,52.72326217667059,15.926059941643658,56.3369493011147
-15.0,0.235125874557,110.0,5.020679407070984,3.6044776060883854,6.54630776740144,4.127088621005252,15.011120598514372,54.32444074600456,15.688552908685992,57.77075673635077
-15.0,0.235125874557,120.0,4.92494711754517,3.334573249889925,6.4693450290219205,3.873527215117309,15.03068107133559,55.898936083855,15.486206319447732,59.0888311591122
-15.0,0.235125874557,130.0,4.843726014773257,3.0995263438865632,6.409984037138744,3.6648174087602463,15.050629634086755,57.38460303226877,15.324499238020946,60.241790670815405
-15.0,0.235125874557,140.0,4.778570274466932,2.903394894029129,6.371432023255036,3.504242205338711,15.070425652289371,58.71769844304022,15.207648620921232,61.18945823798742
-15.0,0.235125874557,150.0,4.730397075730763,2.749026676571184,6.352829209339471,3.3936825300377715,15.089588014741135,59.837381870641686,15.135277433521573,61.8887967251147
-15.0,0.235125874557,160.0,4.699609213553863,2.6383318059919,6.35399178652616,3.3354310586001152,15.107688865712626,60.69041282605173,15.107688575779695,62.30339599483261
-15.0,0.235125874557,170.0,4.686250290632597,2.572517689016034,6.375221617890552,3.330619096635471,15.12433975613043,61.23540970966094,15.125125474929863,62.41593594292751
-15.0,0.235125874557,180.0,4.6901556233041255,2.552257998391952,6.416553865853991,3.3796112298766645,15.139176665557857,61.44614286014312,15.187409347076905,62.22407684002172
-15.0,0.235125874557,190.0,4.71106244161209,2.577786105919326,6.477754525134063,3.482134143483458,15.151850039818385,61.313525224526494,15.294036631381436,61.739570612343805
