r,theta,Fn_BEM,Ft_BEM,Fn_BEM_NoYaw,Ft_BEM_NoYaw,Fn_SVEN,Ft_SVEN,V_eff_BEM,alpha_BEM,V_eff_BEM_NoYaw,alpha_BEM_NoYaw,V_eff_SVEN,alpha_SVEN,cos_theta,sin_theta
0.211940703974,0.0,3.55633337333609,1.642704210683717,4.14862479671591,2.87269186865594,7.696392347805566,3.5056192658646865,11.32514369186531,65.20733570850817,11.14261396394836,55.29955315494914,14.3829472481888,65.51120320814545,1.0,0.0
0.211940703974,10.0,3.616288578208311,1.669044696505693,4.14862479671591,2.87269186865594,7.7447436056690035,3.563893803181484,11.38561303080943,65.22501055737588,11.14261396394836,55.29955315494914,14.440841965306724,65.28949021536698,0.984807753012208,0.17364817766693033
0.211940703974,20.0,3.684618080102908,1.727565062599127,4.14862479671591,2.87269186865594,7.815661537520128,3.685813750082438,11.43911122422188,64.8800615228314,11.14261396394836,55.29955315494914,14.538561645638213,64.75167893155424,0.9396926207859084,0.3420201433256687
0.211940703974,30.0,3.759813967689099,1.817660541088687,4.14862479671591,2.87269186865594,7.908681918361757,3.8701769188837374,11.48401049881877,64.19882093847937,11.14261396394836,55.29955315494914,14.675617450888618,63.92474708309032,0.8660254037844387,0.49999999999999994
0.211940703974,40.0,3.840293108132371,1.93807422201646,4.14862479671591,2.87269186865594,8.022951850644821,4.114690183889974,11.51880191694262,63.22136919633642,11.14261396394836,55.29955315494914,14.851001832770924,62.848240505603776,0.766044443118978,0.6427876096865393
0.211940703974,50.0,3.924328098196775,2.086782642548459,4.14862479671591,2.87269186865594,8.158954874111746,4.416146338288533,11.54218365700748,61.99794691556757,11.14261396394836,55.29955315494914,15.064311455706571,61.574862943152105,0.6427876096865394,0.766044443118978
0.211940703974,60.0,4.009972873186666,2.260886019027677,4.14862479671591,2.87269186865594,8.31288770297504,4.76887266968784,11.55314595418665,60.58500974638156,11.14261396394836,55.29955315494914,15.310894283788937,60.158246258357536,0.5000000000000001,0.8660254037844386
0.211940703974,70.0,4.095012445337239,2.456517799753445,4.14862479671591,2.87269186865594,8.481666468652142,5.166647711242518,11.55104043473814,59.04128140389432,11.14261396394836,55.29955315494914,15.586215022124458,58.65206039661273,0.3420201433256688,0.9396926207859083
0.211940703974,80.0,4.176961983475413,2.668794457456064,4.14862479671591,2.87269186865594,8.657625765073275,5.599702697293579,11.53562750775416,57.42419091074772,11.14261396394836,55.29955315494914,15.881075050157676,57.10538923913273,0.17364817766693041,0.984807753012208
0.211940703974,90.0,4.253129070273657,2.891829830733542,4.14862479671591,2.87269186865594,8.858140003924092,6.0621538099087005,11.50710154754755,55.78704251493366,11.14261396394836,55.29955315494914,16.203681260359854,55.61376961503503,6.123233995736766e-17,1.0
0.211940703974,100.0,4.320737874633259,3.118835418364561,4.14862479671591,2.87269186865594,9.033677247305596,6.531501042722424,11.46609750792695,54.17714328310003,11.14261396394836,55.29955315494914,16.51295628343273,54.13237352856761,-0.1736481776669303,0.984807753012208
0.211940703974,110.0,4.377099749199028,3.342318306637633,4.14862479671591,2.87269186865594,9.197512575901316,6.994874244695456,11.41368333658334,52.6349365680579,11.14261396394836,55.29955315494914,16.812169498760394,52.746296593017,-0.3420201433256687,0.9396926207859084
