yaw,TSR,r,theta,Fn_BEM_DUM,Ft_BEM_DUM,V_eff_BEM_DUM,alpha_BEM_DUM,Fn_BEM_IFP,Ft_BEM_IFP,V_eff_BEM_IFP,alpha_BEM_IFP,Fn_BEM_P&P,Ft_BEM_P&P,V_eff_BEM_P&P,alpha_BEM_P&P
5.0,6.0,0.211940703974,0.0,6.639550600375262,2.864084344675598,13.866161070529904,66.66621716895769,6.644417576244946,2.8649285455983673,13.870454669147598,66.67534386595698,6.639550600375262,2.864084344675598,13.866161070529904,66.66621716895769
5.0,6.0,0.211940703974,5.0,6.640260093679433,2.8665216717180635,13.86591047069018,66.6507142604828,6.662292393140972,2.870343186572636,13.885336915406093,66.69197135067422,6.638856177941531,2.8662779298286787,13.864671711432,66.64807860391812
5.0,6.0,0.211940703974,10.0,6.642385162877341,2.8738183502474555,13.865159885043917,66.6043475814852,6.681444821621908,2.880602201547039,13.89958182641735,66.6774530977745,6.6395877228635065,2.873331667967886,13.86269143050164,66.59908789114745
5.0,6.0,0.211940703974,15.0,6.6459155309215925,2.8859285037037625,13.863912972465418,66.52754149994573,6.701739438417076,2.895649565639903,13.913083441645048,66.63206670638723,6.641745116516855,2.8852005129283453,13.86023285577013,66.51968173582497
5.0,6.0,0.211940703974,20.0,6.650833922910274,2.902775776501668,13.862175887266318,66.4209974209977,6.72303505579334,2.9153980880168318,13.92573980582717,66.55636408802984,6.645321103953369,2.901808995997552,13.857310993101585,66.41057427210039
5.0,6.0,0.211940703974,25.0,6.657115857411855,2.924253496443908,13.85995735894946,66.28568507783973,6.745185370821764,2.9397292755181788,13.93745376245704,66.45116076768157,6.650301019523935,2.923051412839562,13.853943248382096,66.27274850968861
5.0,6.0,0.211940703974,30.0,6.664729375850428,2.9502249110231817,13.857268795032553,66.12283054495994,6.768039554858014,2.968493322130621,13.94813376272112,66.31752234603837,6.656662451804057,2.9487920800939444,13.850149473603084,66.10744446463572
5.0,6.0,0.211940703974,35.0,6.673634730265104,2.980523506877857,13.854124398751955,65.93390117841743,6.791442797768193,3.0015092473097877,13.957694678497338,66.15674843974392,6.664374868445697,2.978865669792686,13.845952028876477,65.91614416940634
5.0,6.0,0.211940703974,40.0,6.683784053744077,3.0149534246333207,13.850541291840964,65.72058774398728,6.815236825478354,3.0385652064078994,13.96605860663005,65.97035444310013,6.6733992255242125,3.013077632928159,13.84137585077912,65.70055381591087
5.0,6.0,0.211940703974,45.0,6.695121040667337,3.0532899844375896,13.846539631535888,65.48478404707032,6.8392604123903675,3.0794189963684593,13.973155650864488,65.76005147522554,6.683687588739643,3.0512047268423346,13.836448516360548,65.4625833409532
5.0,6.0,0.211940703974,50.0,6.707580665523689,3.095280340589553,13.842142710639429,65.22856442672749,6.863349911991009,3.1237987794583053,13.978924667632297,65.52772489091268,6.695182795422715,3.09299566448274,13.831200291809397,65.20432381501563
5.0,6.0,0.211940703974,55.0,6.721088969024693,3.140644286379317,13.837377029463656,64.95415951805244,6.887339829073709,3.171404046886083,13.983313961896274,65.27541174137369,6.707818186219749,3.1381719065904026,13.825664154761148,64.92802304017229
5.0,6.0,0.211940703974,60.0,6.735562939129693,3.1890752326367227,13.832272329393605,64.66393072023268,6.911063455947456,3.2219068428851076,13.986281920048038,65.00527757222082,6.721517434200355,3.186428620559306,13.819875780157027,64.63605979896438
5.0,6.0,0.211940703974,65.0,6.750910511910158,3.2402413849789204,13.826861578993878,64.36034383003722,6.934353592288105,3.2749532678390665,13.987797567741177,64.71959293997585,6.736194496439322,3.237435831485801,13.813873480767445,64.3309172210807
5.0,6.0,0.211940703974,70.0,6.767030713461089,3.2937871452667147,13.821180905352898,64.04594231037058,6.957043364405922,3.330165276353765,13.987841041855738,64.42071001468895,6.7517537094144675,3.290839791702807,13.807698095302914,64.01515574679605
5.0,6.0,0.211940703974,75.0,6.783813959400853,3.349334762029613,13.815269465493362,63.72332065973321,6.978967154742582,3.387142782666565,13.986403967321925,64.11103961465285,6.76809004492616,3.3462645945641967,13.801392819219046,63.691386163998274
5.0,6.0,0.211940703974,80.0,6.801142523024493,3.406486252357689,13.809169254930143,63.395098330407514,6.999961646521336,3.4454660813028113,13.983489731085553,63.793028989822346,6.785089537816564,3.4033140561573867,13.795002975634345,63.362243178685425
5.0,6.0,0.211940703974,85.0,6.81889117737362,3.4648256139731064,13.80292485290626,63.06389461122724,7.019866982164895,3.5046985855023873,13.979113647202752,63.469140633848944,6.802629891030623,3.461573884959144,13.788575726293411,63.03035994729353
5.0,6.0,0.211940703974,90.0,6.8369280104817305,3.523921340792905,13.796583106180758,62.73230484600511,7.038528027542436,3.5643898796041698,13.973303008678304,63.141832361535045,6.820581257635282,3.5206141541155063,13.782159724915568,62.69834395424604
5.0,6.0,0.211940703974,95.0,6.855115407246528,3.583329248423071,13.790192755480152,62.402878302982444,7.055795727770077,3.6240790744490683,13.966097023280986,62.81353884029736,6.838807193693018,3.5799920841672805,13.77580471756467,62.36875456164652
5.0,6.0,0.211940703974,100.0,6.873311185878341,3.6425956077977433,13.783804010606152,62.07809794656199,7.071528534354514,3.6832984470389127,13.957546632007448,62.486654712557765,6.857165770470712,3.639255135775857,13.769561096602551,62.044082492690315
5.0,6.0,0.211940703974,105.0,6.891369872117654,3.7012605759925745,13.77746808186941,61.760362293079,7.085593878452747,3.7415773375120933,13.947714210332938,62.16351939269591,6.875510829790271,3.697944402732071,13.76347941649411,61.72673143924602
5.0,6.0,0.211940703974,110.0,6.909144090296443,3.7588619033145436,13.771236676667298,61.451969460663264,7.097869660899619,3.798446268109113,13.93667315362054,61.846403569295084,6.893693362275246,3.755598285476919,13.757609880886491,61.41900191048864
5.0,6.0,0.211940703974,115.0,6.926486047169667,3.8149388856229915,13.76516147085058,61.1551034525361,7.108245726826149,3.853441240626593,13.924507349295357,61.537497392790335,6.911562985143111,3.811756415057219,13.75200181119294,61.12307736677211
5.0,6.0,0.211940703974,120.0,6.943249082185271,3.869036520835523,13.759293564904864,60.87182264632701,7.116625291135577,3.9061081611566175,13.91131053952257,61.238900282066915,6.9289694939485615,3.865963787258,13.746703107247598,60.8410126141867
5.0,6.0,0.211940703974,125.0,6.9592892565360005,3.92070981917483,13.753682934985694,60.604050401722866,7.122926280898455,3.9560073340244473,13.897185579230335,60.95261224254777,6.945764461336255,3.9177750570627468,13.74175971053781,60.57472437310309
5.0,6.0,0.211940703974,130.0,6.974466952883753,3.969528208322618,13.74837788852905,60.353567646975996,7.127082561824771,4.002717961064622,13.88224359540451,60.680526554018755,6.961802855347017,3.966758935005612,13.737215080105507,60.32598388053806
5.0,6.0,0.211940703974,135.0,6.9886484579810055,4.015079967629988,13.743424533574116,60.122007262884736,7.12904501826916,4.045842577975456,13.866603054672694,60.42442365966316,6.976944650052331,4.012502619768613,13.733109690503309,60.09641134283847
5.0,6.0,0.211940703974,140.0,7.001707501421417,4.05697662019257,13.738866270149636,59.91085005159487,7.128782459569982,4.085011356676281,13.850388747301416,60.1859660689421,6.991056402155856,4.054616195851173,13.729480560265507,59.887472022773004
5.0,6.0,0.211940703974,145.0,7.013526725307701,4.094857208165304,13.734743311158347,59.721422057149795,7.12628232972078,4.1198862015159605,13.833730696854586,59.966694076148414,7.00401276857581,4.092736921534942,13.726360818282782,59.70047372385323
5.0,6.0,0.211940703974,150.0,7.023999061600531,4.128392375317772,13.731092239210493,59.55489299484718,7.121551202203249,4.150164567937809,13.816763005895591,59.76802209348396,7.015697941785453,4.126533330839123,13.7237793143226,59.53656542426681
5.0,6.0,0.211940703974,155.0,7.033028996183879,4.157288181588528,13.727945604863805,59.41227554645054,7.114615047041364,4.175582934825422,13.799622649239733,59.59123540193607,7.0260069817247,4.155709073783878,13.721760278776543,59.39673681247989
5.0,6.0,0.211940703974,160.0,7.040533701140907,4.181289577280054,13.725331570770342,59.29442528719144,7.105519262535369,4.195919866205193,13.782448227350633,59.437487134485394,7.034847025304745,4.180006422046793,13.72032303559377,59.281818485343344
5.0,6.0,0.211940703974,165.0,7.04644401928785,4.2001834694659825,13.72327360534409,59.20204102714414,7.094328469481733,4.210998604176684,13.765378693487492,59.30779532359379,7.042138356827993,4.199209371930332,13.719481771315657,59.19248258623656
5.0,6.0,0.211940703974,170.0,7.05070528759084,4.213801320015165,13.721790228768478,59.13566537275094,7.081126070783767,4.220689142741537,13.748552069107909,59.20303986779518,7.047815324977913,4.213146283311944,13.719245362186543,59.129243684139276
5.0,6.0,0.211940703974,175.0,7.053277988643272,4.222021223172939,13.720894813469855,59.095685342815656,7.066013584039454,4.224909741420698,13.73210416276941,59.12395929984209,7.051827094360292,4.221692001721205,13.719617260493852,59.09245972328441
5.0,6.0,0.211940703974,180.0,7.054138221880155,4.2247694206303885,13.720595440588177,59.08233290601275,7.049109758825499,4.223627847963093,13.716167308305158,59.07114727056818,7.054138221880155,4.2247694206303885,13.720595440588177,59.08233290601275
5.0,6.0,0.211940703974,185.0,7.053277988643272,4.222021223172939,13.720894813469855,59.095685342815656,7.030549493888042,4.216860410801106,13.700869138333598,59.045048697759896,7.054729050518286,4.222350452170223,13.722172404443315,59.09891040752186
5.0,6.0,0.211940703974,190.0,7.05070528759084,4.213801320015165,13.721790228768478,59.13566537275094,7.01048257224653,4.204673573914156,13.686331409156178,59.045955567251966,7.05359591534037,4.214456386474548,13.724335246119127,59.14208485937151
5.0,6.0,0.211940703974,195.0,7.04644401928785,4.2001834694659825,13.72327360534409,59.20204102714414,6.989072234308272,4.187181759119274,13.672668892769467,59.074002413513675,7.050751158854136,4.201157632382425,13.727065774064656,59.211594577958564
5.0,6.0,0.211940703974,200.0,7.040533701140907,4.181289577280054,13.725331570770342,59.29442528719144,6.9664936105001045,4.164546153195707,13.659988351040477,59.12916154846897,7.046222955152151,4.18257284493598,13.730340689816051,59.307023553857135
5.0,6.0,0.211940703974,205.0,7.033028996183879,4.157288181588528,13.727945604863805,59.41227554645054,6.942932035712806,4.136972629343759,13.648387606051335,59.21123814937869,7.040054944669155,4.158867457658353,13.734131821275884,59.42780125710813
