yaw,r,theta,Fn_BEM,Ft_BEM,Fn_SVEN,Ft_SVEN
-15.0,0.211940703974,0.0,4.32762158631349,4.191752508341641,9.479074469419086,8.61239603747582
-15.0,0.211940703974,10.0,4.258709939132477,4.150644348266083,9.367603982372229,8.418352780349872
-15.0,0.211940703974,20.0,4.179578523177008,4.065891978755366,9.233184021063888,8.142917144027676
-15.0,0.211940703974,30.0,4.093066648556063,3.94119983875424,9.081623146302675,7.799373932241285
-15.0,0.211940703974,40.0,4.002160183074395,3.781915407062078,8.917800047959679,7.402926140388085
-15.0,0.211940703974,50.0,3.909874212525307,3.594688519110947,8.747341434038793,6.9702909702623295
-15.0,0.211940703974,60.0,3.8191578780542015,3.387051668875892,8.579434832405786,6.518586990892622
-15.0,0.211940703974,70.0,3.73281923927617,3.166957573870285,8.417709109582661,6.0621929114624535
-15.0,0.211940703974,80.0,3.653462855548524,2.942317292580834,8.263428089836369,5.615572801058936
-15.0,0.211940703974,90.0,3.583430575092237,2.720585181051862,8.139664948498748,5.195173915446564
-15.0,0.211940703974,100.0,3.5247380570606075,2.508433752720508,8.013926339890057,4.803649169415053
-15.0,0.211940703974,110.0,3.479005863081497,2.3115502511625925,7.905982335692265,4.453141009124457
-15.0,0.211940703974,120.0,3.44739265618633,2.1345673585396696,7.816725308307338,4.150710547790265
-15.0,0.211940703974,130.0,3.4305454464947043,1.981115915716103,7.749145456496044,3.902068370227962
-15.0,0.211940703974,140.0,3.4285838416780967,1.8539641342420776,7.705935894202587,3.7108989335811793
-15.0,0.211940703974,150.0,3.4411297159062757,1.7551932718269372,7.686074591181993,3.5794361448866248
-15.0,0.211940703974,160.0,3.467382009969277,1.6863594877416688,7.688980835055118,3.510276104526204
-15.0,0.211940703974,170.0,3.506223079274768,1.6486051895786664,7.7147245067018675,3.504781336979004
-15.0,0.211940703974,180.0,3.5563333733360905,1.6427042106837169,7.763276422602483,3.563412877785115
-15.0,0.211940703974,190.0,3.616288578208311,1.6690446965056926,7.834463964491466,3.685838404675664
-15.0,0.211940703974,200.0,3.684618080102908,1.7275650625991272,7.927781404397559,3.870842559916785
-15.0,0.211940703974,210.0,3.759813967689099,1.8176605410886868,8.042401484675649,4.11615213217054
-15.0,0.211940703974,220.0,3.8402931081323706,1.93807422201646,8.178514479665145,4.418498750378372
-15.0,0.211940703974,230.0,3.924328098196775,2.0867826425484592,8.333007717350325,4.772373383785582
-15.0,0.211940703974,240.0,4.009972873186665,2.260886019027676,8.502328748753435,5.171241505920697
-15.0,0.211940703974,250.0,4.095012445337239,2.4565177997534446,8.67883604622296,5.605443476499804
-15.0,0.211940703974,260.0,4.176961983475414,2.6687944574560643,8.857795105108929,6.0643202970291545
-15.0,0.211940703974,270.0,4.2531290702736575,2.891829830733542,9.033203443536118,6.533499907462827
-15.0,0.211940703974,280.0,4.3207378746332585,3.118835418364561,9.196909045404498,6.996651538156598
-15.0,0.211940703974,290.0,4.377099749199027,3.3423183066376345,9.339951978619824,7.436439120055618
-15.0,0.211940703974,300.0,4.419805227379911,3.5543742828895097,9.458617724663128,7.836139633129353
-15.0,0.211940703974,310.0,4.446909261596875,3.747058995237458,9.549717916683502,8.178232650845692
-15.0,0.211940703974,320.0,4.457084341839872,3.9128081830882846,9.607398000507642,8.446798986417965
-15.0,0.211940703974,330.0,4.449723048489024,4.044870943657807,9.62830714034504,8.630522788107193
-15.0,0.211940703974,340.0,4.424980477548496,4.137718038229011,9.61296770255667,8.721453725842343
-15.0,0.211940703974,350.0,4.383755992371422,4.187389637717172,9.56229532706456,8.715201137306119
-15.0,0.219688749936,0.0,6.391138775873152,6.353409083835185,9.692131343981252,9.013190737852543
-15.0,0.219688749936,10.0,6.342483317677042,6.306833629752875,9.577875338026509,8.814105509789792
-15.0,0.219688749936,20.0,6.272422473433069,6.191194134668452,9.440670673454148,8.531675936632553
-15.0,0.219688749936,30.0,6.183636605179205,6.011807228724013,9.286409304658848,8.179480032977095
-15.0,0.219688749936,40.0,6.079451189746926,5.776767958708017,9.119815772634416,7.772990076009047
