yaw,r,theta,V_eff_BEM,alpha_BEM,V_eff_SVEN,alpha_SVEN
-15.0,0.211940703974,0.0,10.892710376950047,45.91368975494422,17.69960047121694,47.7426455956754
-15.0,0.211940703974,10.0,10.826510695723028,45.73624695297191,17.551938728502776,48.05499150638697
-15.0,0.211940703974,20.0,10.770008118748455,45.78993023724368,17.353234562074903,48.59029421314118
-15.0,0.211940703974,30.0,10.72515129392028,46.08289800405818,17.11202253323536,49.343704977139566
-15.0,0.211940703974,40.0,10.693413617283506,46.620710143769536,16.83754651938258,50.30290843121878
-15.0,0.211940703974,50.0,10.675723268120125,47.40496397787675,16.540564265582045,51.45048537296499
-15.0,0.211940703974,60.0,10.672426042974964,48.43152012663537,16.23461547225625,52.772676743941865
-15.0,0.211940703974,70.0,10.683286000830432,49.688425455884456,15.92928732904206,54.23960644599224
-15.0,0.211940703974,80.0,10.707526127401293,51.15375957095534,15.632858637582146,55.80112960626248
-15.0,0.211940703974,90.0,10.743907169753026,52.79377860576606,15.368814116092944,57.45172522591695
-15.0,0.211940703974,100.0,10.790837360929022,54.56186178000985,15.11772079663856,59.06093427064447
-15.0,0.211940703974,110.0,10.846499577553589,56.398808541122456,14.898115373234228,60.6090227876115
-15.0,0.211940703974,120.0,10.908977271713884,58.23490731687959,14.71352254144916,62.03146769422519
-15.0,0.211940703974,130.0,10.97635880359492,59.99386779862071,14.567950544958729,63.27247738306889
-15.0,0.211940703974,140.0,11.046803697505435,61.59824445472342,14.464122245177997,64.28615611344512
-15.0,0.211940703974,150.0,11.118563994840876,62.97554961890925,14.401226298201138,65.02834571708675
-15.0,0.211940703974,160.0,11.189966601257204,64.0640517912015,14.378855773862862,65.4616536690088
-15.0,0.211940703974,170.0,11.2593737003001,64.81737009625368,14.396835444376997,65.56774499510668
-15.0,0.211940703974,180.0,11.325143691865303,65.20733570850818,14.45492742697912,65.34439002742144
-15.0,0.211940703974,190.0,11.385613030809434,65.2250105573759,14.552873372044258,64.80460876831611
-15.0,0.211940703974,200.0,11.439111224221882,64.88006152283137,14.690154617590188,63.975391142071786
-15.0,0.211940703974,210.0,11.484010498818767,64.19882093847936,14.865799514247962,62.89628521350939
-15.0,0.211940703974,220.0,11.51880191694262,63.22136919633642,15.079181588909352,61.61950413255331
-15.0,0.211940703974,230.0,11.542183657007476,61.9979469155676,15.326221423856296,60.19986993047743
-15.0,0.211940703974,240.0,11.553145954186654,60.58500974638159,15.601931356084846,58.691366215175066
