r,theta,V_eff_BEM,alpha_BEM,V_eff_SVEN,alpha_SVEN
0.2119407039730799,0,11.3251436919973,65.2073357081112,14.24551082017053,65.52411822897605
0.2119407039730799,10,11.38561303093808,65.22501055696804,14.30222193010171,65.30249596454507
0.2119407039730799,20,11.43911122434581,64.8800615224155,14.39917265507707,64.7587269039265
0.2119407039730799,30,11.48401049893913,64.19882093805798,14.53599247973175,63.92077898542325
0.2119407039730799,40,11.51880191705991,63.22136919591188,14.71185379316084,62.82858019492888
0.2119407039730799,50,11.54218365712227,61.99794691514224,14.92495095997931,61.53150804923729
0.2119407039730799,60,11.55314595429964,60.58500974595778,15.17216943548957,60.08522743739527
0.2119407039730799,70,11.55104043485007,59.04128140347452,15.44898395576002,58.54917608994111
0.2119407039730799,80,11.53562750786585,57.42419091033451,15.74813894547473,56.980038613849
0.2119407039730799,90,11.50710154765981,55.7870425145297,16.09544882364038,55.513770357132
0.2119407039730799,100,11.4660975080406,54.17714328270794,16.41115472852488,54.01774606708567
0.2119407039730799,110,11.41368333669919,52.63493656768022,16.71820261801445,52.61909029769148
0.2119407039730799,120,11.35134069806685,51.19401940008485,17.00490477051924,51.35022147213634
0.2119407039730799,130,11.28093370021791,49.88180873582156,17.2591520132977,50.23399230681988
0.2119407039730799,140,11.20466322179696,48.72058323797933,17.47048715423945,49.28800586432754
0.2119407039730799,150,11.12500399391548,47.72865043138654,17.63061654564039,48.53008468701264
0.2119407039730799,160,11.04462286431001,46.92144506883484,17.7327090436935,47.97374571291325
0.2119407039730799,170,10.96627909757574,46.31242613424988,17.77228453066246,47.6269938639021
0.2119407039730799,180,10.8927103770985,45.91368975470932,17.74765570352476,47.49412342237561
0.2119407039730799,190,10.82651069587415,45.73624695275667,17.65974646124521,47.57924503659888
0.2119407039730799,200,10.77000811890538,45.78993023704606,17.51215323791152,47.88514334786126
0.2119407039730799,210,10.7251512940771,46.08289800387372,17.31108870424406,48.41192157451525
0.2119407039730799,220,10.69341361744316,46.62071014359498,17.06488375052952,49.15580345875694
0.2119407039730799,230,10.67572326828019,47.40496397770671,16.78373511917924,50.10826863325943
0.2119407039730799,240,10.67242604313806,48.43152012646605,16.47958684371978,51.25763412960621
0.2119407039730799,250,10.68328600099408,49.68842545570968,16.16399055025268,52.5836874324309
0.2119407039730799,260,10.7075261275647,51.1537595707696,15.84762176861646,54.05243760772864
0.2119407039730799,270,10.74390716991546,52.79377860556421,15.54122767812689,55.62307008832887
0.2119407039730799,280,10.79083736108979,54.56186177978753,15.25427093158994,57.25023780921494
0.2119407039730799,290,10.84649957771208,56.39880854087641,14.99450176863424,58.88026742706252
0.2119407039730799,300,10.90897727186955,58.2349073166079,14.76759830508228,60.45188343995775
0.2119407039730799,310,10.97635880374728,59.99386779832296,14.5779265976824,61.90208689374013
0.2119407039730799,320,11.04680369765412,61.59824445440056,14.42807569958441,63.1712385917422
0.2119407039730799,330,11.1185639949865,62.97554961856353,14.32012710890901,64.20710254665822
0.2119407039730799,340,11.18996660139689,64.0640517908353,14.25400751838693,64.96522005386595
0.2119407039730799,350,11.2593737004372,64.81737009587057,14.22929108560096,65.41073212115101
0.21968874993696,0,13.5930480153309,63.91163170467201,14.44528877022647,64.37736479712214
0.21968874993696,10,13.62117336644548,63.81628834949505,14.50344510284834,64.1655141057156
0.21968874993696,20,13.64500375261193,63.36888547051933,14.60339403417182,63.63894785222737
0.21968874993696,30,13.66380741263902,62.59546230964591,14.74459492967642,62.82503651572854
0.21968874993696,40,13.67692115788805,61.53670359354835,14.92598588418504,61.76286435713549
0.21968874993696,50,13.68379640772355,60.24453249192153,15.14547546290841,60.50070343862126
0.21968874993696,60,13.68404401701468,58.77801923913209,15.39961935295465,59.09292806922719
0.21968874993696,70,13.67747042381719,57.19904246599103,15.68362265679465,57.59763033044086
0.21968874993696,80,13.66410094205328,55.56821292626783,15.98989886470483,56.06991224300234
0.21968874993696,90,13.64418964393928,53.94153492270065,16.34376555204245,54.64512422402834
0.21968874993696,100,13.61821786878451,52.36812691556218,16.66568197818073,53.18701608364461
0.21968874993696,110,13.58688424870433,50.88909833688676,16.9781899224184,51.82259824569785
0.21968874993696,120,13.55108842938779,49.53746344310161,17.26949912028056,50.58354046352974
0.21968874993696,130,13.51190918721693,48.3388286491992,17.52738374499286,49.49188154882452
0.21968874993696,140,13.47057631596308,47.31253876752711,17.74140802295511,48.56483493414131
0.21968874993696,150,13.42843507474884,46.47299277597295,17.90334630471117,47.82039619615963
0.21968874993696,160,13.38690229855998,45.83090599017411,18.0064218022465,47.27216246872173
0.21968874993696,170,13.34741427174834,45.39436975387083,18.04619740840445,46.92809977795443
0.21968874993696,180,13.31136780342843,45.1696212232699,18.02102071544146,46.7925268955114
0.21968874993696,190,13.28005728538253,45.16147680201485,17.93186833495178,46.86972341402543
0.21968874993696,200,13.25461161921688,45.37340486641066,17.78237643623966,47.16259927640796
0.21968874993696,210,13.23593564200464,45.80722332046503,17.57878892169271,47.67144820813388
0.21968874993696,220,13.2246610112756,46.4624143869673,17.32944800253022,48.39260130549654
0.21968874993696,230,13.22111141489097,47.33506317554802,17.0445734683391,49.31782690265117
0.21968874993696,240,13.22528641093732,48.41645849612825,16.73618345219279,50.43613279076549
0.21968874993696,250,13.23686708128112,49.69145283341163,16.41581537199438,51.72780949290092
0.21968874993696,260,13.25524485361717,51.13676589105252,16.09409631386542,53.15918662416114
0.21968874993696,270,13.2795721976612,52.7195220836955,15.78184018545499,54.690490243723
0.21968874993696,280,13.30883052240381,54.39640648839149,15.48863108682426,56.27781746294579
0.21968874993696,290,13.34190699715616,56.11385632853469,15.22238183826916,57.86889249347399
0.21968874993696,300,13.3776692094795,57.80962253180893,14.98898531312391,59.40384239382619
0.21968874993696,310,13.41502588707094,59.41581349335675,14.79311767036582,60.82119374282424
0.21968874993696,320,13.45296437954826,60.86320877703725,14.63768304311426,62.06279159767016
0.21968874993696,330,13.49056117817908,62.08630943633225,14.5251691867566,63.07772602867821
0.21968874993696,340,13.52696894462416,63.02840151913146,14.4557622229285,63.82229954262576
0.21968874993696,350,13.56138983151535,63.64592470165977,14.42925251944668,64.26196074535706
0.235125874557,0,15.13917666546629,61.44614285977835,14.87916933059674,62.22071268900142
0.235125874557,10,15.1518500397263,61.31352522416342,14.93991755925413,62.02805939276286
0.235125874557,20,15.16202390886144,60.84615459490286,15.0453355148852,61.53558665455425
0.235125874557,30,15.16938512563613,60.06940571299368,15.19459670723577,60.76940718826228
0.235125874557,40,15.17366081392288,59.02318010963696,15.38617719987223,59.76672725597108
0.235125874557,50,15.17464008366025,57.75853564982291,15.61743474719705,58.57352822406414
0.235125874557,60,15.17219541361037,56.33355539549462,15.88435056241016,57.24148685169662
0.235125874557,70,15.16629981456495,54.80894706312775,16.18161067090149,55.82607202111051
0.235125874557,80,15.1570375135619,53.2439262606318,16.5010116171834,54.37912941709724
0.235125874557,90,15.14460772749629,51.69287744667404,16.86695416268129,53.03457056699103
0.235125874557,100,15.12932243926809,50.203108500389,17.20023220900306,51.64969018537769
0.235125874557,110,15.11159959201371,48.81377711508649,17.52264176852623,50.35115014900407
0.235125874557,120,15.09195284753231,47.55585067004937,17.82223896146047,49.16918239233615
0.235125874557,130,15.07097838843119,46.45282449050182,18.08656480593707,48.12417133872145
0.235125874557,140,15.04933861417062,45.52188162356178,18.30519978810809,47.23287087296264
0.235125874557,150,15.0277422841042,44.77520914859297,18.47014307375903,46.51374679119304
0.235125874557,160,15.00692078322861,44.22125543797568,18.57473806905598,45.98064584576863
0.235125874557,170,14.98760065087473,43.86578762372814,18.61464913601269,45.64150403094364
0.235125874557,180,14.97047316135361,43.71266952590938,18.5883035226698,45.50071949891052
0.235125874557,190,14.95616241573302,43.76432083503961,18.49678183723643,45.56289275963739
0.235125874557,200,14.94519396777117,44.02184038968297,18.34379751549875,45.83123101594548
0.235125874557,210,14.93796638407972,44.4847864062375,18.13565415116598,46.30627591340528
0.235125874557,220,14.93472828681053,45.150612815228,17.88072573971069,46.98451047307933
0.235125874557,230,14.93556332560395,46.0137723883261,17.58924068383874,47.85816892901125
0.235125874557,240,14.94038515466577,47.06452293103318,17.27339966530098,48.91767511738677
0.235125874557,250,14.94894381948556,48.28751968839079,16.94466861624821,50.14397605284932
0.235125874557,260,14.96084394618037,49.66034765504001,16.61352041198773,51.50383685119158
0.235125874557,270,14.97557375952146,51.15223414770721,16.29085766325532,52.95939560416836
0.235125874557,280,14.99254230857041,52.7232621763731,15.98645051470987,54.46938208029887
0.235125874557,290,15.01112059842406,54.32444074569369,15.70850150621958,55.98426051361824
