r,theta,a_BEM,phi_BEM,phi_BEM,a_SVEN,phi_SVEN
0.2119407039730799,0,0.194692797499456,62.90731123111753,62.90731123111754,-0.015817953043594457,63.22409375198239
0.2119407039730799,10,0.19026522435724458,62.92498607997437,62.92498607997438,-0.017863667796980787,63.00247148755141
0.2119407039730799,20,0.18897890212513901,62.58003704542184,62.58003704542184,-0.019762500405471783,62.45870242693284
0.2119407039730799,30,0.19087535412375145,61.89879646106431,61.898796461064315,-0.02149109990969844,61.620754508429584
0.2119407039730799,40,0.1959348718677848,60.92134471891821,60.92134471891822,-0.023015553818442447,60.52855571793522
0.2119407039730799,50,0.20405280743697418,59.69792243814857,59.69792243814858,-0.024291672397211306,59.231483572243626
0.2119407039730799,60,0.21501967385137133,58.28498526896411,58.284985268964114,-0.02527936771660788,57.785202960401605
0.2119407039730799,70,0.22851368629960278,56.74125692648087,56.74125692648086,-0.0259771253254506,56.24915161294745
0.2119407039730799,80,0.2441094650472877,55.12416643334085,55.12416643334085,-0.026315740244110986,54.680014136855334
0.2119407039730799,90,0.26130100381404076,53.48701803753604,53.48701803753604,-0.029588142585079247,53.21374588013834
0.2119407039730799,100,0.2795329424277082,51.87711880571427,51.877118805714275,-0.028932253103320482,51.717721590092005
0.2119407039730799,110,0.29823293168569054,50.33491209068656,50.33491209068656,-0.02767815640908977,50.319065820697816
0.2119407039730799,120,0.3168392438384582,48.89399492309118,48.893994923091185,-0.02584134278692707,49.05019699514268
0.2119407039730799,130,0.334820531912173,47.58178425882789,47.581784258827895,-0.02338110611223887,47.933967829826216
0.2119407039730799,140,0.35168739052049947,46.42055876098566,46.42055876098567,-0.020335931205114788,46.987981387333875
0.2119407039730799,150,0.3669972560861354,45.42862595439287,45.42862595439288,-0.01689123966920425,46.230060210018976
0.2119407039730799,160,0.3803550177844669,44.62142059184117,44.62142059184118,-0.013218001493265685,45.67372123591959
